table[0]:  2 0
table[5972]: fur 3 0
table[6055]: tallies 1 0
table[6056]: executioner 5 0
table[6110]: introduce 2 0
table[6195]: tongue's 1 0
table[6203]: gazing 2 0
table[6223]: cross 6 0
table[6245]: 'after 1 0
table[6249]: unrest 1 0
table[6260]: rosetree 1 0
table[6275]: shade 5 0
table[6279]: treason 1 0
table[6295]: shady 1 0
table[6320]: gay 3 0
table[6332]: crowd 4 0
table[6342]: crown 4 0
table[6344]: returning 1 0
table[6423]: i'd 11 0
table[6432]: i'm 59 0
table[6439]: get 50 0
table[6451]: exact 1 0
table[6492]: shake 4 0
table[6512]: detain 1 0
table[6513]: blacking 1 0
table[6527]: toothpick 1 0
table[6530]: shall 110 0
table[6538]: shalt 11 0
table[6548]: drowns 1 0
table[6554]: shame 10 0
table[6635]: throwing 2 0
table[6643]: couple 1 0
table[6647]: shape 7 0
table[6658]: coils 1 0
table[6666]: mended 1 0
table[6699]: edwin 2 0
table[6709]: share 3 0
table[6710]: encourage 1 1
table[6715]: shark 1 0
table[6716]: feared 1 0
table[6720]: sharp 7 0
table[6733]: god 5 0
table[6735]: shutting 2 0
table[6749]: got 49 0
table[6751]: disperse 1 0
table[6757]: often 7 0
table[6808]: winds 2 0
table[6814]: windy 1 0
table[6833]: jurors 4 0
table[6846]: doubling 1 0
table[6870]: madam 12 0
table[6872]: tucked 3 0
table[6901]: wings 1 0
table[6920]: treated 1 0
table[6988]: disagree 1 0
table[6989]: prefiguring 1 1
table[7012]: sickle's 1 0
table[7018]: run'st 1 0
table[7059]: perforce 1 0
table[7102]: dressed 2 0
table[7135]: patient 1 0
table[7145]: cucumber 2 0
table[7206]: spirits 3 0
table[7233]: interesting 5 0
table[7260]: had 200 0
table[7272]: hap 1 0
table[7275]: has 7 0
table[7276]: hat 1 0
table[7317]: jumping 4 0
table[7386]: reckon 1 0
table[7398]: her 315 0
table[7430]: mistress 6 0
table[7435]: snout 1 0
table[7482]: disappointment 1 0
table[7494]: antique 5 0
table[7508]: hid 3 0
table[7516]: misprision 1 0
table[7517]: him 106 0
table[7523]: his 243 0
table[7524]: hit 2 0
table[7559]: nurse 4 0
table[7575]: prevent'st 1 0
table[7582]: tight 1 0
table[7592]: imaginary 1 0
table[7602]: bitter 3 0
table[7638]: force 2 0
table[7651]: chimneys 1 0
table[7683]: tortoise 3 0
table[7700]: person 6 0
table[7705]: liv'd 1 0
table[7710]: hot 10 0
table[7713]: how 115 0
table[7759]: vision 1 0
table[7785]: fountain 1 0
table[7790]: steady 1 0
table[7800]: skill 9 0
table[7822]: heads 10 0
table[7825]: oblation 1 0
table[7827]: o'ercharged 1 0
table[7837]: straightening 1 0
table[7881]: hue 5 0
table[7887]: i'll 38 0
table[7892]: compounds 2 0
table[7900]: robbed 1 0
table[7913]: insult 1 0
table[7925]: gems 1 0
table[7944]: pigeon 12 0
table[7965]: elegant 1 0
table[7994]: skirt 1 0
table[7996]: o'erpressed 1 0
table[8005]: devouring 1 0
table[8021]: suffer 2 0
table[8032]: steals 1 0
table[8033]: touch 2 0
table[8050]: chanced 1 0
table[8069]: tail 9 0
table[8070]: heals 1 0
table[8124]: take 36 0
table[8127]: remain 4 0
table[8138]: what 219 0
table[8155]: tale 4 0
table[8157]: feasts 1 0
table[8161]: talk 15 0
table[8162]: tall 1 0
table[8168]: forth 7 0
table[8182]: perceived 1 0
table[8185]: forty 2 0
table[8186]: tame 1 0
table[8190]: i've 34 0
table[8227]: she'd 2 0
table[8234]: reckoned 1 0
table[8241]: heard 33 0
table[8242]: she's 7 0
table[8256]: when 198 0
table[8257]: heart 55 0
table[8259]: field 2 0
table[8307]: love's 26 0
table[8318]: heats 1 0
table[8321]: fiend 2 0
table[8325]: blinking 1 0
table[8328]: isbel 1 0
table[8333]: strange 12 0
table[8356]: tart 1 0
table[8378]: task 1 0
table[8386]: heavy 8 0
table[8387]: whit 1 1
table[8403]: remark 10 0
table[8410]: earls 2 0
table[8416]: early 1 0
table[8426]: pour'st 1 0
table[8427]: excel 1 0
table[8448]: blasts 2 0
table[8462]: posting 1 0
table[8466]: fiery 1 0
table[8474]: iii 2 0
table[8490]: triumphantly 2 0
table[8495]: inquisitively 1 0
table[8497]: ornaments 1 0
table[8501]: otherwise 6 0
table[8527]: burned 1 0
table[8529]: saucy 2 0
table[8533]: confine 1 0
table[8565]: whom 14 0
table[8569]: mustard 3 0
table[8570]: ill 23 0
table[8602]: accuse 3 0
table[8608]: antiquity 2 0
table[8623]: inc 2 0
table[8631]: ink 3 0
table[8633]: transgression 1 0
table[8646]: equal 3 0
table[8647]: earth 16 0
table[8720]: unmoved 1 0
table[8734]: springs 1 0
table[8762]: outright 1 0
table[8782]: course 29 0
table[8823]: consent 2 0
table[8825]: its 56 0
table[8827]: baked 1 0
table[8838]: respect 5 0
table[8857]: lengths 1 0
table[8859]: listened 1 0
table[8861]: thoroughly 2 0
table[8864]: burthens 1 0
table[8872]: herself 84 0
table[8886]: clean 2 0
table[8890]: clear 5 0
table[8920]: slumbers 1 0
table[8942]: learned's 1 0
table[8948]: sorrow 9 0
table[8961]: beside 2 0
table[8968]: seriously 1 0
table[9030]: resort 1 0
table[9037]: estimate 1 0
table[9091]: achieves 1 0
table[9105]: cautiously 3 0
table[9111]: imperfect 1 0
table[9112]: somebody 7 0
table[9131]: admitted 1 0
table[9134]: hallowed 1 0
table[9139]: eased 1 0
table[9154]: uncomfortable 4 0
table[9161]: fountains 3 0
table[9174]: uncomfortably 1 0
table[9177]: wide 9 0
table[9185]: waters 1 0
table[9187]: expense 3 0
table[9191]: watery 1 0
table[9196]: jar 2 0
table[9200]: solely 1 0
table[9201]: jaw 1 0
table[9205]: nicely 2 0
table[9220]: solemn 4 0
table[9239]: wife 2 0
table[9252]: after 56 0
table[9286]: truth's 1 0
table[9301]: altered 3 0
table[9335]: 'will 1 0
table[9410]: clerk 1 0
table[9424]: wild 3 0
table[9432]: will 107 0
table[9440]: wilt 17 0
table[9442]: cousin 1 0
table[9472]: fifth 1 0
table[9486]: wind 5 0
table[9487]: wine 2 0
table[9489]: wing 2 0
table[9493]: wink 4 0
table[9517]: punished 1 0
table[9531]: saved 1 0
table[9538]: decrease 1 0
table[9546]: saves 1 0
table[9566]: live' 2 0
table[9585]: noticed 8 0
table[9621]: increase 6 0
table[9625]: temptation 2 0
table[9627]: lived 8 0
table[9631]: wiry 1 0
table[9637]: joy 8 0
table[9642]: wise 4 0
table[9643]: lives 14 1
table[9645]: wish 29 0
table[9653]: creating 1 0
table[9676]: with 380 0
table[9687]: wits 3 0
table[9691]: creation 2 0
table[9694]: watching 4 0
table[9748]: protection 1 0
table[9749]: toiled 1 0
table[9783]: blenches 1 0
table[9805]: jug 1 0
table[9808]: corners 1 0
table[9815]: persuade 1 0
table[9870]: cornets 1 0
table[9991]: magic 1 0
table[10004]: redress 1 0
table[10006]: tongues 4 0
table[10017]: invocate 1 0
table[10020]: balls 1 0
table[10024]: invention 5 0
table[10035]: sufferance 1 0
table[10040]: government 1 0
table[10057]: balmy 1 0
table[10069]: inflaming 1 0
table[10070]: fancied 2 0
table[10073]: fight 6 0
table[10090]: illinois 2 0
table[10110]: eaten 1 0
table[10111]: helena 23 0
table[10112]: executioner's 1 0
table[10123]: gilding 2 0
table[10126]: miracle 1 0
table[10133]: sheds 1 0
table[10142]: recovered 2 0
table[10144]: much 74 0
table[10157]: mischief 1 0
table[10161]: sheep 1 0
table[10182]: removed 6 0
table[10196]: remover 1 0
table[10242]: boughs 1 0
table[10249]: highest 1 0
table[10285]: comes 7 0
table[10288]: key 11 0
table[10330]: unseeing 1 0
table[10336]: deformed'st 1 0
table[10341]: animals 4 0
table[10350]: religion 1 0
table[10391]: kid 5 0
table[10402]: toffee 1 0
table[10423]: lullaby 1 0
table[10446]: entrance 1 0
table[10448]: fresher 1 0
table[10452]: lovely 10 0
table[10457]: murdering 1 0
table[10478]: involved 1 0
table[10492]: services 1 0
table[10507]: bosom's 2 0
table[10523]: beauties 4 0
table[10531]: rabbit 46 0
table[10550]: o'erworn 1 0
table[10560]: beautify 1 0
table[10567]: concealed 1 0
table[10568]: idolatrous 1 0
table[10587]: uncommon 1 0
table[10632]: lovers 2 0
table[10637]: muse 16 0
table[10639]: mistress' 5 0
table[10640]: dare 9 0
table[10642]: drinks 1 0
table[10646]: dark 6 0
table[10647]: trifles 1 1
table[10652]: must 74 0
table[10655]: dart 1 0
table[10668]: mute 2 0
table[10683]: wires 2 0
table[10684]: wondered 1 0
table[10690]: frantic 1 0
table[10693]: refuse 1 0
table[10695]: attend 3 0
table[10698]: strangely 2 0
table[10702]: date 6 0
table[10706]: commotion 1 0
table[10711]: complain 1 0
table[10758]: luckily 2 0
