table[0]:  3 0
table[4858]: confess 1 0
table[4886]: most 75 0
table[4887]: salutation 1 0
table[4905]: ere 13 0
table[4912]: purring 3 0
table[4918]: err 1 0
table[4935]: station 1 0
table[4940]: enjoy 5 0
table[4948]: esq 1 0
table[4951]: est 1 0
table[4952]: legged 3 0
table[4964]: move 9 0
table[4965]: etc 1 0
table[5015]: dwells 1 0
table[5048]: fools 1 0
table[5071]: mabel 7 0
table[5096]: anything 41 0
table[5101]: justice 1 1
table[5103]: annexed 1 0
table[5122]: eye 91 0
table[5134]: wills 3 0
table[5148]: unlocking 1 0
table[5156]: beseem 1 0
table[5197]: valiant 1 0
table[5232]: pitiful 1 0
table[5246]: weak 9 0
table[5253]: wear 9 0
table[5263]: porridge 1 0
table[5311]: repeat 13 0
table[5348]: fan 19 0
table[5352]: far 61 0
table[5354]: fat 1 0
table[5363]: weed 5 0
table[5370]: week 5 0
table[5375]: weep 7 0
table[5379]: steepy 1 1
table[5384]: they'll 7 0
table[5395]: kitchen 7 0
table[5405]: shouldn't 9 0
table[5442]: curiosity 9 0
table[5462]: fed 1 0
table[5463]: fee 1 0
table[5473]: familiar 1 0
table[5481]: few 21 0
table[5483]: flies 5 0
table[5484]: possessing 3 0
table[5498]: refreshments 1 0
table[5522]: possession 3 0
table[5561]: diligently 1 0
table[5563]: they're 25 0
table[5588]: well 203 0
table[5589]: fig 1 0
table[5594]: pitying 1 0
table[5602]: fit 7 0
table[5605]: everybody 15 0
table[5606]: fix 1 0
table[5610]: recite 1 0
table[5627]: ancient 1 0
table[5658]: went 167 0
table[5687]: they've 1 0
table[5700]: fly 7 0
table[5714]: repent 1 0
table[5720]: wept 1 0
table[5729]: claws 3 0
table[5753]: through 37 0
table[5767]: were 247 0
table[5773]: foe 1 0
table[5782]: wert 5 0
table[5786]: for 713 0
table[5793]: for't 1 0
table[5803]: neatly 3 0
table[5808]: hawks 3 0
table[5813]: west 5 0
table[5836]: taller 3 0
table[5916]: gerard 3 0
table[5919]: histories 1 0
table[5966]: ful 1 0
table[5968]: fun 5 0
table[5972]: fur 5 0
table[6055]: tallies 1 0
table[6056]: executioner 9 0
table[6110]: introduce 3 0
table[6195]: tongue's 1 0
table[6203]: gazing 3 0
table[6223]: cross 11 0
